# del for MV
     #PI_    PITT      DN     TT_ Size
   #0.526   0.094   0.379   0.030	 10
   #1.126   0.190   0.778   0.047	 20
   #3.068   0.317   1.150   0.066	 30
   #2.629   0.552   1.534   0.091	 40
   #3.899   0.737   1.975   0.134	 50
   #4.890   1.129   2.789   0.166	 70
  #57.505   2.274   4.023   0.248	 100
   #22.71   06.01   07.85   00.54	 200
   #71.74   20.88   21.07   017.1	 500
  #140.50   35.10   48.86   02.88	 700
   #183.8   054.2   043.1   004.3	 1000
  #1536.2   270.1   140.8   018.4	 3000
  #3748.4   686.7   568.6   033.3	 5000

     PI_    PITT      DN     TT_ Size
  14302.4  2676.3  1324.0   132.6	 5000
  5849.4  1283.0   556.6   070.1	 3000
   849.7   225.1   183.9   016.6	 1000
  925.30  193.04  136.72   11.00	 700
  268.62   80.19   86.35   06.91	 500
  112.49   22.45   33.08   02.34	 200
  522.965  70.951  17.161   0.984	 100
  19.460   4.661  12.163   0.653	 70
  14.386   2.937  10.218   0.469	 50
  10.607   2.138   6.073   0.370	 40
   8.290   1.447   4.604   0.270	 30
   4.605   0.761   3.114   0.190	 20
   2.191  10.543   1.615   0.119	 10
