     PI_    PITT      DN     TT_ Size
  3950.6  3733.1   676.6     N/A	 5000
  1971.2  1980.0   360.1     N/A	 3000
   695.6   633.7   115.1     N/A	 1000
  814.57  1212.99   67.40     N/A	 700
  226.35  213.87   51.64     N/A	 500
   94.74   80.43   18.51     N/A	 200
  471.534  421.743   9.022     N/A	 100
  24.301  27.498   6.355     N/A	 70
  18.239  18.064   4.464     N/A	 50
  14.328  13.486   3.426     N/A	 40
   9.887   9.603   2.705     N/A	 30
   6.521   6.564   1.999     N/A	 20
   3.541   4.399   1.020     N/A	 10
