# ins for MV
     #PI_    PITT      DN     TT_ Size
   #0.634   0.640   0.523   0.030	 10
   #2.076   1.259   1.665   0.048	 20
  #18.898   1.920   1.928   0.071	 30
   #3.903   3.001   1.838   0.100	 40
   #4.613   3.889   2.595   0.126	 50
   #5.993   4.390   5.398   0.170	 70
  #201.313  165.229  10.598   0.266	 100
   #38.98   22.55   10.99   00.66	 200
  #400.09   67.11   37.62   02.54	 500
  #262.28  112.81   52.91   04.34	 700
   #487.7   163.0   100.0   006.7	 1000
  #3462.4  1026.4   199.5   027.5	 3000
  #9060.6  1977.0   337.8   050.6	 5000

# ins all
     PI_    PITT      DN     TT_ Size
  40451.8  11229.4  1404.4   201.3	 5000
  14871.1  4004.1  2438.1   108.2	 3000
  2917.3   707.0   384.4   027.0	 1000
  1497.23  1177.74  427.92   17.19	 700
  834.62  270.16  155.74   10.40	 500
  141.91   87.58   53.14   02.72	 200
  649.353  460.172  35.721   1.051	 100
  24.676  22.690  18.324   0.689	 70
  21.115  15.012  11.626   0.486	 50
  14.534  16.074   8.545   0.383	 40
  25.846   9.060   6.328   0.285	 30
   7.075   4.476   4.874   0.197	 20
   3.693   3.074   2.296   0.124	 10
