     PI_    PITT      DN     TT_ Size
  2706.8  3249.4  75855.8     N/A	 5000
  1331.2  1458.3  20316.7     N/A	 3000
   374.3   360.7  2388.1     N/A	 1000
  203.53  675.79  1707.23     N/A	 700
  130.28  127.17  742.56     N/A	 500
   49.72   44.57  153.47     N/A	 200
  136.853  81.085  82.919     N/A	 100
  12.586  15.876  39.895     N/A	 70
   8.975   8.767  20.332     N/A	 50
   7.238   7.076  13.071     N/A	 40
   4.891   4.605   9.165     N/A	 30
   3.193   3.084   5.618     N/A	 20
   2.081   2.556   2.364     N/A	 10
