     PI_    PITT      DN     TT_ Size
     # generalised, all gens
  4024.2  4093.1  78007.0     N/A	 5000
  2053.4  2053.4  20926.3     N/A	 3000
   546.0   543.1  2406.0     N/A	 1000
  323.58  720.76  1682.87     N/A	 700
  190.35  196.85  758.87     N/A	 500
   69.15   66.30  155.36     N/A	 200
  521.436  364.330  92.163     N/A	 100
  21.041  24.357  37.490     N/A	 70
  15.494  15.724  36.289     N/A	 50
  12.307  12.022  12.735     N/A	 40
   8.471   8.264   8.715     N/A	 30
   5.842   5.445   5.434     N/A	 20
   3.760   4.535   2.300     N/A	 10

# all tests, NV gen
  #2511.5  2654.4  14909.5     N/A	 5000
  #1425.3  1348.7  5192.9     N/A	 3000
   #428.1   417.8   612.3     N/A	 1000
  #244.77  641.63  346.23     N/A	 700
  #148.83  138.97  215.16     N/A	 500
   #48.35   45.50   47.89     N/A	 200
  #535.105  42.357  26.544     N/A	 100
  #14.134  21.660  15.873     N/A	 70
  #10.751  10.659   6.277     N/A	 50
   #8.151   8.203   4.463     N/A	 40
   #5.481   5.252   3.080     N/A	 30
   #3.760   3.443   2.040     N/A	 20
   #1.786   3.264   0.995     N/A	 10
