% 40
     PI_    PITT      DN     TT_ Gen
   3.489   3.411   3.445     N/A	 0.00
   3.365   3.315   3.222     N/A	 0.01
   3.051   3.075   3.232     N/A	 0.03
   2.402   2.221   2.836     N/A	 0.10

# 20
   %1.715   1.516   1.480     N/A	 0.00
   %1.709   1.383   1.447     N/A	 0.01
   %1.377   1.434   1.366     N/A	 0.03
   %1.041   1.112   1.141     N/A	 0.10

# 500
   %5.412   5.288  19.937     N/A	 0.00
   %4.823   5.308  19.562     N/A	 0.01
   %5.081   4.981  18.296     N/A	 0.03
   %3.719   4.108  18.092     N/A	 0.10
