     PI_    PITT      DN     TT_ Size
  2449.0  2374.7   705.1   110.5	 5000
  1251.6  1270.6   386.5   058.0	 3000
   350.4   326.7   125.8   013.7	 1000
  611.64  621.36   96.76   09.11	 700
  146.33  141.59   55.91   05.85	 500
   61.08   48.48   21.21   01.89	 200
  343.961  81.471  10.260   0.836	 100
  14.296  14.105   7.141   0.562	 70
  10.116  10.107   5.014   0.391	 50
   8.263   7.876   3.903   0.311	 40
   5.915   5.400   3.032   0.234	 30
   3.662   3.676   2.020   0.167	 20
   1.930   2.397   1.173   0.105	 10
